,0,1,2
0,PDPI Ungkap Kasus TBC RI Salah Satu Tertinggi di Dunia,"CNN Indonesia | Minggu, 05/09/2021 00:18 WIB",https://www.cnnindonesia.com/gaya-hidup/20210904193154-255-689803/pdpi-ungkap-kasus-tbc-ri-salah-satu-tertinggi-di-dunia
1,BOR RS Rujukan di Medan Turun Jadi 56 Persen,"CNN Indonesia | Sabtu, 04/09/2021 23:38 WIB",https://www.cnnindonesia.com/nasional/20210904220337-20-689821/bor-rs-rujukan-di-medan-turun-jadi-56-persen
2,VIDEO: Menjemput Rezeki di Masa Pandemi,"Digital Admin, CNN Indonesia | Sabtu, 04/09/2021 20:00 WIB",https://www.cnnindonesia.com/tv/20210903212959-404-689584/video-menjemput-rezeki-di-masa-pandemi
3,"Jatim Tertinggi Positif Covid, Jabar Terbanyak Kasus Kematian","CNN Indonesia | Sabtu, 04/09/2021 19:04 WIB",https://www.cnnindonesia.com/nasional/20210904185649-20-689798/jatim-tertinggi-positif-covid-jabar-terbanyak-kasus-kematian
4,Sandiaga Dorong Potensi Pulau Untung Jawa Jadi Desa Wisata,"Kemenparekraf,  CNN Indonesia | Sabtu, 04/09/2021 19:00 WIB",https://www.cnnindonesia.com/nasional/20210904180534-25-689792/sandiaga-dorong-potensi-pulau-untung-jawa-jadi-desa-wisata
5,Satgas Bubarkan Pesta Pernikahan Langgar PPKM Level 4 Medan,"CNN Indonesia | Sabtu, 04/09/2021 18:06 WIB",https://www.cnnindonesia.com/nasional/20210904180154-20-689790/satgas-bubarkan-pesta-pernikahan-langgar-ppkm-level-4-medan
6,VIDEO:Kematian Nakes Indonesia Akibat Covid-19 Tertinggi Asia,"Digital Admin, CNN Indonesia | Sabtu, 04/09/2021 18:00 WIB",https://www.cnnindonesia.com/tv/20210903205339-404-689573/videokematian-nakes-indonesia-akibat-covid-19-tertinggi-asia
7,Indonesia Terima 207 Ribu Vaksin AstraZeneca dari Belanda,"KPCPEN,  CNN Indonesia | Sabtu, 04/09/2021 17:55 WIB",https://www.cnnindonesia.com/nasional/20210904175308-25-689789/indonesia-terima-207-ribu-vaksin-astrazeneca-dari-belanda
8,KPK Tahan 17 Tersangka Kasus Suap Bupati Probolinggo,"CNN Indonesia | Sabtu, 04/09/2021 16:51 WIB",https://www.cnnindonesia.com/nasional/20210904164703-12-689777/kpk-tahan-17-tersangka-kasus-suap-bupati-probolinggo
9,Kasus Aktif Covid Turun 3 Hari Berturut-turut Jadi 160.699,"CNN Indonesia | Sabtu, 04/09/2021 16:46 WIB",https://www.cnnindonesia.com/nasional/20210904162331-20-689775/kasus-aktif-covid-turun-3-hari-berturut-turut-jadi-160699
10,Survei CISA: Mayoritas Tolak Presiden 3 Periode,"CNN Indonesia | Sabtu, 04/09/2021 16:41 WIB",https://www.cnnindonesia.com/nasional/20210904152106-32-689767/survei-cisa-mayoritas-tolak-presiden-3-periode
11,"Raikkonen Positif Covid-19, Absen di GP Belanda","CNN Indonesia | Sabtu, 04/09/2021 16:23 WIB",https://www.cnnindonesia.com/olahraga/20210904161239-163-689774/raikkonen-positif-covid-19-absen-di-gp-belanda
12,Philippine Airlines Ajukan Pailit,"CNN Indonesia | Sabtu, 04/09/2021 16:05 WIB",https://www.cnnindonesia.com/ekonomi/20210904154956-92-689771/philippine-airlines-ajukan-pailit
13,Wisata Pulau Langkawi Malaysia Kembali Dibuka saat Pandemi,"CNN Indonesia | Sabtu, 04/09/2021 15:56 WIB",https://www.cnnindonesia.com/gaya-hidup/20210904085726-269-689618/wisata-pulau-langkawi-malaysia-kembali-dibuka-saat-pandemi
14,Peserta Tes CPNS Kemenkumham Wajib Tes PCR-Rapid Test Antigen,"CNN Indonesia | Sabtu, 04/09/2021 15:11 WIB",https://www.cnnindonesia.com/nasional/20210904144009-20-689745/peserta-tes-cpns-kemenkumham-wajib-tes-pcr-rapid-test-antigen
